Designator,Mid X,Mid Y,Rotation,Layer
3V1,83.65,-74.85,270.0,top
C1,157.3792,-56.3372,180.0,top
C10,108.1032,-56.3372,180.0,top
C11,101.8294,-56.3372,180.0,top
C12,97.0542,-56.3372,180.0,top
C13,90.7296,-56.3372,180.0,top
C14,85.9036,-56.3372,180.0,top
C15,120.1,-81.6,90.0,top
C16,108.39,-86.625,90.0,top
C17,110.95,-86.625,90.0,top
C18,159.0548,-77.2814,270.0,top
C19,165.227,-65.913,90.0,top
C2,152.5278,-56.3372,180.0,top
C20,165.227,-70.231,270.0,top
C21,169.926,-77.348323,270.0,top
C22,96.3,-97.45,180.0,top
C23,143.45,-73.8,180.0,top
C24,108.6612,-72.4052,180.0,top
C25,117.2,-107.25,180.0,top
C26,102.15,-102.05,0.0,top
C27,145.0,-102.0,0.0,top
C28,85.5,-94.25,90.0,top
C3,146.2794,-56.3372,180.0,top
C4,141.4534,-56.3372,180.0,top
C5,135.1796,-56.3372,180.0,top
C6,130.3282,-56.3372,180.0,top
C7,124.0,-56.3372,180.0,top
C8,119.1878,-56.3372,180.0,top
C9,112.9292,-56.3372,180.0,top
D1,89.5096,-99.314,270.0,top
F1,129.1,-122.5,270.0,top
F2,134.7,-122.5,270.0,top
F3,140.3,-122.6,270.0,top
FL1,144.6,-111.0,180.0,top
J1,154.9535,-47.5,180.0,top
J10,79.5,-107.78,180.0,top
J2,143.8535,-47.5,180.0,top
J3,132.7535,-47.5,180.0,top
J4,121.616,-47.5,180.0,top
J5,110.516,-47.5,180.0,top
J6,99.416,-47.5,180.0,top
J7,88.316,-47.5,180.0,top
J8,157.49,-123.1875,0.0,top
J9,111.83,-117.08,0.0,top
PS1,164.465,-100.3195,90.0,top
R1,157.4046,-52.705,180.0,top
R10,108.0778,-52.7304,180.0,top
R11,101.8548,-52.7304,180.0,top
R12,97.0034,-52.7304,180.0,top
R13,90.7804,-52.7304,180.0,top
R14,85.8782,-52.7304,180.0,top
R15,112.395,-70.0176,0.0,top
R16,114.55,-80.175,180.0,top
R17,119.9,-87.075,90.0,top
R18,130.0875,-78.5,180.0,top
R19,140.75,-78.5,180.0,top
R2,152.5024,-52.7304,180.0,top
R20,151.25,-78.5,180.0,top
R24,126.65,-111.02,270.0,top
R25,130.05,-105.52,270.0,top
R26,133.05,-111.08,270.0,top
R27,93.7533,-99.75,0.0,top
R3,146.3048,-52.705,180.0,top
R31,100.2,-99.7,180.0,top
R32,100.2,-97.4,180.0,top
R33,82.8,-106.0875,90.0,top
R4,141.4026,-52.705,180.0,top
R5,135.205,-52.705,180.0,top
R6,130.3028,-52.705,180.0,top
R7,124.0817,-52.7304,180.0,top
R8,119.1522,-52.7304,180.0,top
R9,112.9546,-52.7304,180.0,top
S1,165.862,-48.768,270.0,top
T1,127.4,-89.65,180.0,top
T2,138.0,-89.65,180.0,top
T3,148.5,-89.65,180.0,top
U1,112.345,-66.3425,90.0,top
U16,115.55,-85.525,180.0,top
U17,105.156,-67.31,180.0,top
U18,139.954,-67.3208,180.0,top
U19,93.5,-115.5,180.0,top
U2,138.43,-59.3852,0.0,top
U20,171.069,-66.929,180.0,top
U21,81.3054,-90.3732,180.0,top
U3,165.8112,-56.515,0.0,top
U4,93.726,-59.370001,0.0,top
U5,116.028,-59.370001,0.0,top
Y2,85.95,-88.13,90.0,top
